"YEAR","Month","Location","Pocillopora","Year_F"
2016,"Apr","4x5",57.2797384,"2016"
2017,"Apr","4x5",71.659091136181,"2017"
1984,"Aug","4x5",0.242349351458435,"1984"
1985,"Aug","4x5",0.619881666064953,"1985"
2014,"Aug","4x5",73.0702479,"2014"
2015,"Aug","4x5",72.4955296,"2015"
2018,"Aug","4x5",73.5545504,"2018"
1980,"Dec","4x5",77,"1980"
1984,"Dec","4x5",0.343136736870266,"1984"
1990,"Dec","4x5",3.22781116833051,"1990"
1989,"Feb","4x5",1.08534305764371,"1989"
1992,"Feb","4x5",4.60903000453963,"1992"
2001,"Feb","4x5",34.3963611292358,"2001"
1985,"Jan","4x5",0.310968671897968,"1985"
1994,"Jan","4x5",6.08880700485325,"1994"
1997,"Jan","4x5",16.4069207974072,"1997"
1984,"Jul","4x5",0.251493374984883,"1984"
1985,"Jul","4x5",0.527035412780255,"1985"
1986,"Jul","4x5",1.08262426513747,"1986"
1995,"Jul","4x5",8.66460171188198,"1995"
2007,"Jul","4x5",63.3388298925394,"2007"
1984,"Jun","4x5",0.214453386345934,"1984"
1988,"Jun","4x5",1.57834835641147,"1988"
1985,"Mar","4x5",0.498231504215956,"1985"
1990,"Mar","4x5",1.92631880352561,"1990"
1993,"Mar","4x5",6.52330343495568,"1993"
2002,"Mar","4x5",47.0499044378893,"2002"
2003,"Mar","4x5",50.2993880197525,"2003"
2004,"Mar","4x5",56.6720674102468,"2004"
2005,"Mar","4x5",57.0057521055748,"2005"
2006,"Mar","4x5",65.3277032911375,"2006"
2010,"Mar","4x5",68.3901766452543,"2010"
1985,"May","4x5",0.543875011860979,"1985"
1987,"May","4x5",1.65727878591779,"1987"
2000,"May","4x5",32.7470233415566,"2000"
1984,"Nov","4x5",0.349682095093367,"1984"
1985,"Oct","4x5",0.792990273426743,"1985"
1989,"Oct","4x5",1.88670560840301,"1989"
1984,"Sep","4x5",0.349909129548604,"1984"
2016,"Apr","Uva_1m2",39.276857,"2016"
2017,"Apr","Uva_1m2",68.2269568,"2017"
2014,"Aug","Uva_1m2",43.5579694545455,"2014"
2015,"Aug","Uva_1m2",47.6937192727273,"2015"
2018,"Aug","Uva_1m2",59.4116538181818,"2018"
1994,"Feb","Uva_1m2",4.31296015480823,"1994"
2001,"Feb","Uva_1m2",17.5203550186096,"2001"
1997,"Jan","Uva_1m2",18.468894233501,"1997"
1995,"Jul","Uva_1m2",17.4276388699361,"1995"
2007,"Jul","Uva_1m2",37.320081668524,"2007"
1998,"Mar","Uva_1m2",16.4549082026736,"1998"
2002,"Mar","Uva_1m2",27.8682997670933,"2002"
2003,"Mar","Uva_1m2",30.9298600556808,"2003"
2005,"Mar","Uva_1m2",29.1126379381002,"2005"
2006,"Mar","Uva_1m2",32.3719836905603,"2006"
2010,"Mar","Uva_1m2",42.9420303844824,"2010"
2000,"May","Uva_1m2",20.1742912061315,"2000"
1997,"Oct","Uva_1m2",18.8206304326044,"1997"
1983,"Apr","UvRf-Chains",7.14404513345196,"1983"
2014,"Apr","UvRf-Chains",15.5647130647131,"2014"
2016,"Apr","UvRf-Chains",23.4920634920635,"2016"
2017,"Apr","UvRf-Chains",24.4920634920635,"2017"
1985,"Aug","UvRf-Chains",0.67123287671233,"1985"
2014,"Aug","UvRf-Chains",27.2435332157554,"2014"
2015,"Aug","UvRf-Chains",23.0771487542385,"2015"
2018,"Aug","UvRf-Chains",36.0828924162257,"2018"
1980,"Dec","UvRf-Chains",11.1780821917808,"1980"
1990,"Dec","UvRf-Chains",1.64556962025316,"1990"
1992,"Feb","UvRf-Chains",3.29113924050633,"1992"
1994,"Feb","UvRf-Chains",1.4375,"1994"
1985,"Jan","UvRf-Chains",0.698630136986301,"1985"
1986,"Jan","UvRf-Chains",0.547945205479452,"1986"
1997,"Jan","UvRf-Chains",2.425,"1997"
1984,"Jul","UvRf-Chains",0.643835616438356,"1984"
1995,"Jul","UvRf-Chains",4.38823529411764,"1995"
2007,"Jul","UvRf-Chains",14.3614236401122,"2007"
1988,"Jun","UvRf-Chains",2.46243254462432,"1988"
1983,"Mar","UvRf-Chains",10.128999097072,"1983"
1993,"Mar","UvRf-Chains",2.725,"1993"
1998,"Mar","UvRf-Chains",4.38888888888889,"1998"
2002,"Mar","UvRf-Chains",12.1,"2002"
2003,"Mar","UvRf-Chains",12.9348484848485,"2003"
2004,"Mar","UvRf-Chains",15.5166666666667,"2004"
2005,"Mar","UvRf-Chains",18.7416666666667,"2005"
2010,"Mar","UvRf-Chains",18.6510263929619,"2010"
1987,"May","UvRf-Chains",0.472027972027972,"1987"
2000,"May","UvRf-Chains",6.04985337243402,"2000"
1983,"Oct","UvRf-Chains",1.00022865695221,"1983"
1989,"Oct","UvRf-Chains",0.4375,"1989"
1997,"Oct","UvRf-Chains",3.73170731707317,"1997"
