"Month","YEAR","Pocillopora"
"Dec",1980,44.0890410958904
"Apr",1983,7.14404513345196
"Mar",1983,10.128999097072
"Oct",1983,1.00022865695221
"Aug",1984,0.242349351458435
"Dec",1984,0.343136736870266
"Jul",1984,0.44766449571162
"Jun",1984,0.214453386345934
"Nov",1984,0.349682095093367
"Sep",1984,0.349909129548604
"Aug",1985,0.645557271388641
"Jan",1985,0.504799404442134
"Jul",1985,0.527035412780255
"Mar",1985,0.498231504215956
"May",1985,0.543875011860979
"Oct",1985,0.792990273426743
"Jan",1986,0.547945205479452
"Jul",1986,1.08262426513747
"May",1987,1.06465337897288
"Jun",1988,2.0203904505179
"Feb",1989,1.08534305764371
"Oct",1989,1.1621028042015
"Dec",1990,2.43669039429184
"Mar",1990,1.92631880352561
"Feb",1992,3.95008462252298
"Mar",1993,4.62415171747784
"Feb",1994,2.87523007740411
"Jan",1994,6.08880700485325
"Jul",1995,10.1601586253119
"Jan",1997,12.4336050103027
"Oct",1997,11.2761688748388
"Mar",1998,10.4218985457812
"May",2000,19.6570559733741
"Feb",2001,25.9583580739227
"Mar",2002,29.0060680683276
"Mar",2003,31.3880321867606
"Mar",2004,36.0943670384567
"Mar",2005,34.9533522367806
"Mar",2006,48.8498434908489
"Jul",2007,38.3401117337252
"Mar",2010,43.3277444742329
"Aug",2014,46.4000741699613
"Aug",2015,47.7554658756553
"Apr",2016,40.0162196306878
"Apr",2017,54.7927038094148
"Aug",2018,56.3496988781359
