"Year_F","Species","response","SE","df","asymp.LCL","asymp.UCL",".group"
"1983","Millepora intricata",0.999999987685567,1.01548972361904e-05,Inf,0.999980084650785,1.00001989111649," 1"
"1997","Millepora intricata",0.999999987685566,6.11156725817832e-06,Inf,0.999988009305593,1.00001196620902," 1"
"1998","Millepora intricata",NA,NA,NA,NA,NA,""
"2015","Millepora intricata",0.999999987685566,1.23701115021174e-05,Inf,0.999975743006444,1.00002423295251," 1"
"2016","Millepora intricata",0.999999987685568,3.976434044134e-05,Inf,0.999922054047417,1.00007792739784," 1"
"1983","Pavona varians",0.971631205673759,0.0139817525047914,Inf,0.944610311947873,0.999425041096884,"   3"
"1997","Pavona varians",0.141732283464557,0.0309488075324307,Inf,0.0923845904005423,0.217439294680897," 1  "
"1998","Pavona varians",0.834482758620692,0.0308635801700743,Inf,0.776131730392775,0.897220725768799,"  2 "
"2015","Pavona varians",0.892857142857142,0.0584512206047953,Inf,0.785340068275192,1.01509385520321,"  23"
"2016","Pavona varians",0.820512820512825,0.0614507373837399,Inf,0.708494137119469,0.95024256850327,"  23"
"1983","Pavona clavus",0.999999987685566,9.460552965767e-06,Inf,0.999981445514388,1.00001853020056,"  2"
"1997","Pavona clavus",0.137500000000003,0.03850223207582,Inf,0.0794241266981968,0.238041647871593," 1 "
"1998","Pavona clavus",0.999999987685566,1.06274681400138e-05,Inf,0.999979158447697,1.0000208173573,"  2"
"2015","Pavona clavus",0.941176470588233,0.0403526082715569,Inf,0.865318714026076,1.02368426156819,"  2"
"2016","Pavona clavus",0.777777777777777,0.0800091444587933,Inf,0.635760240256226,0.951519508928607,"  2"
"1983","Pocillopora elegans",0.885245901639333,0.0288560013447912,Inf,0.830457962683814,0.943648374249624,"  2"
"1997","Pocillopora elegans",0.0749999999999984,0.0416458281221042,Inf,0.0252585270550085,0.222697071280108," 1 "
"1998","Pocillopora elegans",0.0666666666666638,0.0371848900677111,Inf,0.0223424710459151,0.198923585278928," 1 "
"2015","Pocillopora elegans",0.21052631578945,0.0539988606332428,Inf,0.127343798815358,0.348044663754243," 1 "
"2016","Pocillopora elegans",0.260869565217374,0.091560537138467,Inf,0.13111939723295,0.519014970270165," 1 "
"1983","Pocillopora damicornis",0.70793650793652,0.0256200819465182,Inf,0.659461572859369,0.759974682218869,"  2"
"1997","Pocillopora damicornis",0.184466019417484,0.0382173532347458,Inf,0.122903967233111,0.276864230551575," 1 "
"1998","Pocillopora damicornis",0.14285714285715,0.0539949247156193,Inf,0.0681048463208082,0.299658018009106," 1 "
"2015","Pocillopora damicornis",0.381818181818185,0.0655096187179067,Inf,0.272780652444027,0.534440850774265," 1 "
"2016","Pocillopora damicornis",0.361111111111119,0.0800537799269271,Inf,0.233851522947931,0.5576240553154," 1 "
"1983","Gardineroseris planulata",0.452631578947358,0.0510681930763745,Inf,0.362833994478326,0.56465311789471," 1 "
"1997","Gardineroseris planulata",1.23144336920553e-08,8.00642421582427e-06,Inf,2.22044604925031e-16,Inf," 12"
"1998","Gardineroseris planulata",0.448275862068946,0.0461747629940612,Inf,0.366325486217911,0.548559289686222," 1 "
"2015","Gardineroseris planulata",0.80952380952379,0.0856890867463274,Inf,0.65785306240887,0.996162875317906,"  2"
"2016","Gardineroseris planulata",0.848484848484837,0.0624155939637652,Inf,0.734562331846333,0.980075491073428,"  2"
"1983","Porites lobata",0.142857142857116,0.132260014255138,Inf,0.0232724690981901,0.876922993395894," 1"
"1997","Porites lobata",0.142857142857125,0.132260014256544,Inf,0.0232724690977454,0.876922993412768," 1"
"1998","Porites lobata",0.516129032258045,0.0897559153180809,Inf,0.367056200599807,0.725744933621387," 1"
"2015","Porites lobata",0.35555555555553,0.0713575975284015,Inf,0.239925865802582,0.526911730269311," 1"
"2016","Porites lobata",0.499999999999977,0.102062072637629,Inf,0.335134560834217,0.745969020257645," 1"
