"Taxon","Date","Mean","Median","SD"
"Pocillopora","1983-03-20",1,1,NA
"Other scleractinians","1983-03-22",0.444195688225539,0.35,0.497534369334182
"Pocillopora","1983-03-22",0.55640135805168,0.682945736434108,0.397404968953483
"Other scleractinians","1983-04-27",0.75,1,0.5
"Pocillopora","1983-04-27",0.785424205524504,0.978835978835979,0.365859555165523
"Millepora","2015-08-15",1,1,NA
"Other scleractinians","2015-08-15",0.847475023257695,0.944444444444444,0.195245334259809
"Pocillopora","2015-08-15",0.266235674404938,0.266235674404938,0.100569991799673
"Millepora","2016-04-15",1,1,NA
"Other scleractinians","2016-04-15",0.771248301117487,0.903571428571428,0.282827726485602
"Pocillopora","2016-04-15",0.189634478996181,0.276595744680851,0.164416066862919
