"Species","emmean","SE","df","asymp.LCL","asymp.UCL",".group","Year"
"Millepora intricata",5.90292597238311e-15,0.068781310566244,Inf,-0.134808891519297,0.134808891519308,"   3","1983"
"Pavona varians",-0.0287789645500434,0.0398555749818795,Inf,-0.106894456097663,0.0493365269975761,"   3","1983"
"Pavona clavus",-4.22673025259535e-15,0.0640783658525498,Inf,-0.125591289259183,0.125591289259175,"   3","1983"
"Pocillopora elegans",-0.121889817609038,0.0448887471899245,Inf,-0.209870145412413,-0.0339094898056621,"   3","1983"
"Pocillopora damicornis",-0.345400867365515,0.0312389854777127,Inf,-0.406628153815402,-0.284173580915628,"  2 ","1983"
"Gardineroseris planulata",-0.792676775862054,0.071139871512364,Inf,-0.932108361891095,-0.653245189833014," 1  ","1983"
"Porites lobata",-1.94591008710872,0.466415447345063,Inf,-2.86006756573818,-1.03175260847925," 1  ","1983"
"Millepora intricata",1.02897636284514e-15,0.0660195044834833,Inf,-0.129395851064807,0.129395851064809,"  2","1997"
"Pavona varians",-1.95381532856244,0.175362960341476,Inf,-2.29752041505406,-1.61011024207082," 1 ","1997"
"Pavona clavus",-1.98413136187551,0.224325052602261,Inf,-2.42380038580599,-1.54446233794502," 1 ","1997"
"Pocillopora elegans",-2.59026716544584,0.42954977262054,Inf,-3.43216924934947,-1.74836508154222," 1 ","1997"
"Pocillopora damicornis",-1.69029000906319,0.170685771841751,Inf,-2.02482797454645,-1.35575204357994," 1 ","1997"
"Gardineroseris planulata",-19.3025850929926,815.293755900201,Inf,-1617.24898347778,1578.64381329179," 12","1997"
"Porites lobata",-1.94591014905531,0.744002030558433,Inf,-3.40412733337451,-0.487692964736115," 12","1997"
"Pavona varians",-0.180943196823833,0.0600374955796759,Inf,-0.29861452588198,-0.0632718677656853,"   34","1998"
"Pavona clavus",-4.71844785465692e-16,0.101903853604062,Inf,-0.199727882949804,0.199727882949803,"    4","1998"
"Pocillopora elegans",-2.70805020110219,0.381289264687593,Inf,-3.45536342758163,-1.96073697462275," 1   ","1998"
"Pocillopora damicornis",-1.94591014905531,0.269612245924697,Inf,-2.47434044085868,-1.41747985725195," 1   ","1998"
"Gardineroseris planulata",-0.802346472524938,0.0915827290896638,Inf,-0.981845323146568,-0.622847621903308,"  2  ","1998"
"Porites lobata",-0.661398482245363,0.165103112843671,Inf,-0.98499463715441,-0.337802327336316,"  23 ","1998"
"Millepora intricata",-1.6774363595529e-16,0.119572346124716,Inf,-0.234357491951401,0.234357491951401,"  2","2015"
"Pavona varians",-0.113328685307004,0.133150129505678,Inf,-0.374298143674978,0.14764077306097,"  2","2015"
"Pavona clavus",-0.0606246218164366,0.117689199362501,Inf,-0.291291213936292,0.170041970303419,"  2","2015"
"Pocillopora elegans",-1.55814459773534,0.192166290595242,Inf,-1.93478360634467,-1.18150558912601," 1 ","2015"
"Pocillopora damicornis",-0.96281074714083,0.145276730496598,Inf,-1.24754790670589,-0.678073587575765," 1 ","2015"
"Gardineroseris planulata",-0.211309093667206,0.161468249308477,Inf,-0.527781046958556,0.105162859624143,"  2","2015"
"Porites lobata",-1.03407376677899,0.166434435512543,Inf,-1.36027926617083,-0.707868267387151," 1 ","2015"
"Millepora intricata",-4.34818730004322e-16,0.362065812596621,Inf,-0.709635952722607,0.709635952722606,"  23","2016"
"Pavona varians",-0.197825743329918,0.110859561724463,Inf,-0.41510649165176,0.0194550049919235,"   3","2016"
"Pavona clavus",-0.251314428280905,0.136848013729238,Inf,-0.519531606546053,0.016902749984244,"   3","2016"
"Pocillopora elegans",-1.34373473934111,0.256003660606075,Inf,-1.84549269403944,-0.841976784642793," 1  ","2016"
"Pocillopora damicornis",-1.01856958034642,0.173927659274785,Inf,-1.35946152844035,-0.67767763225249," 12 ","2016"
"Gardineroseris planulata",-0.164303051291276,0.118513856614265,Inf,-0.396585941924178,0.0679798393416267,"   3","2016"
"Porites lobata",-0.693147180550578,0.181032514522714,Inf,-1.04796438904582,-0.338329972055335," 123","2016"
